JD,Year,Month,Day,f10_7,f30
2433954,1951,11,1,107.3,70.4
2433955,1951,11,2,104.7,69.3
2433956,1951,11,3,106.1,68.5
2433957,1951,11,4,107.2,65.9
2433958,1951,11,5,114.0,71.1
2433959,1951,11,6,114.1,73.2
2433960,1951,11,7,113.9,71.8
2433961,1951,11,8,112.5,72.2
2433962,1951,11,9,113.3,72.2
2433963,1951,11,10,112.7,73.4
2433964,1951,11,11,112.1,74.8
2433965,1951,11,12,103.2,71.3
2433966,1951,11,13,98.9,67.1
2433967,1951,11,14,100.6,64.2
2433968,1951,11,15,100.8,65.1
2433969,1951,11,16,99.9,66.5
2433970,1951,11,17,102.0,66.7
2433971,1951,11,18,98.7,66.5
2433972,1951,11,19,97.7,65.5
2433973,1951,11,20,98.6,65.5
2433974,1951,11,21,97.4,66.1
2433975,1951,11,22,99.9,66.0
2433976,1951,11,23,101.7,67.1
2433977,1951,11,24,102.2,65.8
2433978,1951,11,25,101.2,65.7
2433979,1951,11,26,102.2,66.2
2433980,1951,11,27,104.1,67.8
2433981,1951,11,28,107.3,67.3
2433982,1951,11,29,104.7,67.8
2433983,1951,11,30,110.7,69.2
2433984,1951,12,1,104.0,71.8
2433985,1951,12,2,98.0,69.2
2433986,1951,12,3,94.9,66.5
2433987,1951,12,4,95.0,63.8
2433988,1951,12,5,92.3,61.2
2433989,1951,12,6,84.8,59.3
2433990,1951,12,7,89.0,57.9
2433991,1951,12,8,87.8,60.6
2433992,1951,12,9,85.6,62.9
2433993,1951,12,10,87.7,61.7
2433994,1951,12,11,86.4,63.0
2433995,1951,12,12,90.8,62.3
2433996,1951,12,13,91.9,62.3
2433997,1951,12,14,97.2,63.3
2433998,1951,12,15,104.5,65.9
2433999,1951,12,16,106.3,67.1
2434000,1951,12,17,108.0,67.7
2434001,1951,12,18,105.3,65.6
2434002,1951,12,19,115.6,62.3
2434003,1951,12,20,116.8,66.5
2434004,1951,12,21,127.4,70.0
2434005,1951,12,22,130.6,76.2
2434006,1951,12,23,129.3,75.3
2434007,1951,12,24,121.2,75.1
2434008,1951,12,25,119.3,74.5
2434009,1951,12,26,114.7,73.2
2434010,1951,12,27,107.0,70.7
2434011,1951,12,28,108.7,68.8
2434012,1951,12,29,106.6,69.9
2434013,1951,12,30,106.4,69.3
2434014,1951,12,31,105.0,69.2
2434015,1952,1,1,100.5,67.5
2434016,1952,1,2,95.2,64.6
2434017,1952,1,3,89.3,62.9
2434018,1952,1,4,88.0,61.4
2434019,1952,1,5,89.5,62.0
2434020,1952,1,6,88.9,61.4
2434021,1952,1,7,89.6,60.2
2434022,1952,1,8,96.5,62.5
2434023,1952,1,9,104.2,64.7
2434024,1952,1,10,110.1,67.3
2434025,1952,1,11,112.2,70.5
2434026,1952,1,12,114.1,71.7
2434027,1952,1,13,113.5,71.8
2434028,1952,1,14,112.2,70.4
2434029,1952,1,15,108.2,68.2
2434030,1952,1,16,97.1,65.3
2434031,1952,1,17,99.3,60.4
2434032,1952,1,18,90.7,61.0
2434033,1952,1,19,91.3,59.8
2434034,1952,1,20,96.6,63.1
2434035,1952,1,21,93.9,63.6
2434036,1952,1,22,88.4,65.2
2434037,1952,1,23,107.9,67.0
2434038,1952,1,24,90.0,67.9
2434039,1952,1,25,87.9,59.1
2434040,1952,1,26,92.5,59.6
2434041,1952,1,27,90.0,62.7
2434042,1952,1,28,86.3,60.0
2434043,1952,1,29,85.7,59.5
2434044,1952,1,30,84.9,60.6
2434044,1952,2,1,83.8,60.8
2434045,1952,1,31,82.5,60.8
2434045,1952,2,2,83.5,60.9
2434046,1952,2,3,80.8,57.9
2434047,1952,2,4,82.9,56.0
2434048,1952,2,5,89.8,59.8
2434049,1952,2,6,87.7,61.7
2434050,1952,2,7,89.4,61.4
2434051,1952,2,8,88.3,62.1
2434052,1952,2,9,90.2,61.8
2434053,1952,2,10,89.0,61.8
2434054,1952,2,11,90.5,61.3
2434055,1952,2,12,88.5,60.6
2434056,1952,2,13,95.3,59.3
2434057,1952,2,14,96.7,61.9
2434058,1952,2,15,100.6,62.8
2434059,1952,2,16,101.8,65.8
2434060,1952,2,17,104.1,65.3
2434061,1952,2,18,104.0,68.6
2434062,1952,2,19,96.7,65.5
2434063,1952,2,20,89.5,60.8
2434064,1952,2,21,86.8,59.4
2434065,1952,2,22,79.7,57.5
2434066,1952,2,23,80.7,56.1
2434067,1952,2,24,80.8,58.9
2434068,1952,2,25,79.6,57.6
2434069,1952,2,26,72.5,56.2
2434070,1952,2,27,71.7,53.9
2434071,1952,2,28,71.2,53.5
2434072,1952,2,29,69.5,53.1
2434074,1952,3,1,71.2,52.7
2434075,1952,3,2,70.6,53.3
2434076,1952,3,3,71.6,53.8
2434077,1952,3,4,71.1,53.7
2434078,1952,3,5,75.3,53.5
2434079,1952,3,6,75.9,54.8
2434080,1952,3,7,74.9,54.4
2434081,1952,3,8,78.2,54.5
2434082,1952,3,9,80.2,56.8
2434083,1952,3,10,82.1,56.5
2434084,1952,3,11,80.3,56.7
2434085,1952,3,12,82.9,57.1
2434086,1952,3,13,86.5,58.1
2434087,1952,3,14,84.5,59.5
2434088,1952,3,15,81.9,58.3
2434089,1952,3,16,81.1,58.6
2434090,1952,3,17,80.3,57.3
2434091,1952,3,18,78.7,56.7
2434092,1952,3,19,76.5,56.9
2434093,1952,3,20,76.4,56.2
2434094,1952,3,21,77.0,57.4
2434095,1952,3,22,70.7,55.8
2434096,1952,3,23,71.7,53.6
2434097,1952,3,24,73.4,54.6
2434098,1952,3,25,75.7,55.4
2434099,1952,3,26,74.8,56.7
2434100,1952,3,27,80.6,54.6
2434101,1952,3,28,85.8,57.3
2434102,1952,3,29,85.5,58.4
2434103,1952,3,30,85.4,58.2
2434104,1952,3,31,84.3,57.4
2434105,1952,4,1,86.3,57.6
2434106,1952,4,2,85.1,58.7
2434107,1952,4,3,82.6,59.0
2434108,1952,4,4,88.9,58.4
2434109,1952,4,5,92.3,60.8
2434110,1952,4,6,85.8,57.7
2434111,1952,4,7,83.4,56.0
2434112,1952,4,8,85.9,56.5
2434113,1952,4,9,88.9,58.7
2434114,1952,4,10,80.4,57.1
2434115,1952,4,11,85.1,54.9
2434116,1952,4,12,88.1,59.7
2434117,1952,4,13,87.0,59.2
2434118,1952,4,14,83.6,58.4
2434119,1952,4,15,78.3,55.3
2434120,1952,4,16,74.9,53.9
2434121,1952,4,17,75.4,53.2
2434122,1952,4,18,78.0,54.5
2434123,1952,4,19,78.0,55.3
2434124,1952,4,20,85.4,58.4
2434125,1952,4,21,89.2,59.6
2434126,1952,4,22,90.1,61.6
2434127,1952,4,23,85.5,61.0
2434128,1952,4,24,87.2,59.0
2434129,1952,4,25,83.3,58.2
2434130,1952,4,26,84.5,57.4
2434131,1952,4,27,83.4,58.4
2434132,1952,4,28,83.4,56.6
2434133,1952,4,29,84.3,58.6
2434134,1952,4,30,82.5,58.3
2434135,1952,5,1,84.1,56.5
2434136,1952,5,2,79.5,56.6
2434137,1952,5,3,76.8,54.7
2434138,1952,5,4,84.0,56.8
2434139,1952,5,5,85.4,56.5
2434140,1952,5,6,88.2,56.3
2434141,1952,5,7,90.1,57.2
2434142,1952,5,8,88.8,58.3
2434143,1952,5,9,85.0,58.8
2434144,1952,5,10,79.5,57.9
2434145,1952,5,11,70.6,53.7
2434146,1952,5,12,70.7,50.8
2434147,1952,5,13,73.2,51.8
2434148,1952,5,14,74.9,53.4
2434149,1952,5,15,74.4,53.9
2434150,1952,5,16,76.1,54.5
2434151,1952,5,17,76.1,54.8
2434152,1952,5,18,76.9,54.5
2434153,1952,5,19,77.8,54.9
2434154,1952,5,20,78.1,54.6
2434155,1952,5,21,73.9,53.2
2434156,1952,5,22,80.3,52.7
2434157,1952,5,23,81.7,55.4
2434158,1952,5,24,78.7,55.8
2434159,1952,5,25,81.5,55.6
2434160,1952,5,26,84.1,56.5
2434161,1952,5,27,86.6,56.6
2434162,1952,5,28,91.6,58.0
2434163,1952,5,29,88.2,58.9
2434164,1952,5,30,83.7,57.5
2434165,1952,5,31,82.9,56.6
2434166,1952,6,1,79.7,55.3
2434167,1952,6,2,76.0,56.0
2434168,1952,6,3,75.6,54.2
2434169,1952,6,4,73.9,53.4
2434170,1952,6,5,72.2,52.7
2434171,1952,6,6,71.7,52.3
2434172,1952,6,7,72.5,52.3
2434173,1952,6,8,71.8,51.9
2434174,1952,6,9,73.0,51.9
2434175,1952,6,10,74.8,52.5
2434176,1952,6,11,72.6,53.5
2434177,1952,6,12,73.8,53.5
2434178,1952,6,13,75.3,54.1
2434179,1952,6,14,76.5,54.3
2434180,1952,6,15,80.2,54.3
2434181,1952,6,16,81.1,55.8
2434182,1952,6,17,83.9,57.3
2434183,1952,6,18,85.6,58.2
2434184,1952,6,19,86.5,57.8
2434185,1952,6,20,87.3,58.4
2434186,1952,6,21,90.8,59.1
2434187,1952,6,22,91.2,59.2
2434188,1952,6,23,99.6,59.2
2434189,1952,6,24,96.5,61.3
2434190,1952,6,25,97.8,60.2
2434191,1952,6,26,98.3,62.3
2434192,1952,6,27,106.3,63.2
2434193,1952,6,28,103.4,65.9
2434194,1952,6,29,106.7,63.1
2434195,1952,6,30,101.9,64.8
2434196,1952,7,1,97.0,63.2
2434197,1952,7,2,92.7,60.6
2434198,1952,7,3,93.2,59.9
2434199,1952,7,4,87.7,59.6
2434200,1952,7,5,83.9,57.8
2434201,1952,7,6,78.5,56.5
2434202,1952,7,7,77.7,55.1
2434203,1952,7,8,83.1,53.5
2434204,1952,7,9,87.7,54.3
2434205,1952,7,10,92.7,55.4
2434206,1952,7,11,100.0,57.9
2434207,1952,7,12,104.6,60.6
2434208,1952,7,13,105.9,62.0
2434209,1952,7,14,105.0,61.3
2434210,1952,7,15,103.3,60.5
2434211,1952,7,16,102.0,61.9
2434212,1952,7,17,100.4,62.5
2434213,1952,7,18,92.8,60.8
2434214,1952,7,19,89.8,58.9
2434215,1952,7,20,85.7,56.8
2434216,1952,7,21,80.0,55.8
2434217,1952,7,22,80.5,54.3
2434218,1952,7,23,75.5,55.1
2434219,1952,7,24,75.5,53.9
2434220,1952,7,25,75.9,54.2
2434221,1952,7,26,76.0,54.2
2434222,1952,7,27,79.0,54.2
2434223,1952,7,28,81.4,54.5
2434224,1952,7,29,78.4,56.3
2434225,1952,7,30,86.8,56.3
2434226,1952,7,31,97.4,59.0
2434227,1952,8,1,87.5,60.9
2434228,1952,8,2,83.8,57.3
2434229,1952,8,3,87.2,58.7
2434230,1952,8,4,87.1,59.4
2434231,1952,8,5,84.6,58.3
2434232,1952,8,6,85.5,56.8
2434233,1952,8,7,91.8,56.2
2434234,1952,8,8,91.8,58.8
2434235,1952,8,9,91.0,60.0
2434236,1952,8,10,88.2,59.1
2434237,1952,8,11,84.7,56.1
2434238,1952,8,12,85.1,55.8
2434239,1952,8,13,86.7,56.8
2434240,1952,8,14,87.2,58.2
2434241,1952,8,15,90.6,58.6
2434242,1952,8,16,89.0,58.6
2434243,1952,8,17,86.3,58.8
2434244,1952,8,18,88.0,57.3
2434245,1952,8,19,85.6,57.4
2434246,1952,8,20,86.0,56.5
2434247,1952,8,21,90.1,57.5
2434248,1952,8,22,90.1,58.2
2434249,1952,8,23,96.9,57.6
2434250,1952,8,24,100.7,60.9
2434251,1952,8,25,102.6,62.8
2434252,1952,8,26,113.4,65.0
2434253,1952,8,27,112.2,69.1
2434254,1952,8,28,120.5,68.8
2434255,1952,8,29,119.3,71.6
2434256,1952,8,30,119.8,71.2
2434257,1952,8,31,120.1,72.1
2434258,1952,9,1,113.9,71.1
2434259,1952,9,2,109.6,71.6
2434260,1952,9,3,103.2,67.6
2434261,1952,9,4,97.9,64.5
2434262,1952,9,5,91.7,61.3
2434263,1952,9,6,85.3,59.1
2434264,1952,9,7,82.4,56.9
2434265,1952,9,8,80.7,56.0
2434266,1952,9,9,78.2,55.0
2434267,1952,9,10,75.0,53.4
2434268,1952,9,11,75.3,53.5
2434269,1952,9,12,78.2,54.5
2434270,1952,9,13,74.1,55.0
2434271,1952,9,14,71.5,51.9
2434272,1952,9,15,72.0,50.8
2434273,1952,9,16,78.0,51.4
2434274,1952,9,17,77.5,53.4
2434275,1952,9,18,76.6,53.8
2434276,1952,9,19,82.5,54.7
2434277,1952,9,20,79.4,56.6
2434278,1952,9,21,82.6,54.0
2434279,1952,9,22,85.8,55.5
2434280,1952,9,23,84.2,56.1
2434281,1952,9,24,83.8,56.3
2434282,1952,9,25,85.0,56.6
2434283,1952,9,26,82.5,56.7
2434284,1952,9,27,84.8,56.2
2434285,1952,9,28,81.2,56.8
2434286,1952,9,29,79.2,55.7
2434287,1952,9,30,75.4,54.4
2434288,1952,10,1,76.7,52.5
2434289,1952,10,2,76.6,53.2
2434290,1952,10,3,80.0,52.9
2434291,1952,10,4,87.7,54.8
2434292,1952,10,5,83.0,56.9
2434293,1952,10,6,85.5,55.6
2434294,1952,10,7,85.5,57.3
2434295,1952,10,8,83.9,58.0
2434296,1952,10,9,81.7,56.9
2434297,1952,10,10,80.1,55.7
2434298,1952,10,11,81.7,55.4
2434299,1952,10,12,82.7,56.3
2434300,1952,10,13,79.7,56.0
2434301,1952,10,14,77.2,54.2
2434302,1952,10,15,76.4,53.7
2434303,1952,10,16,77.6,53.6
2434304,1952,10,17,74.7,53.3
2434305,1952,10,18,74.6,52.4
2434306,1952,10,19,78.9,51.5
2434307,1952,10,20,79.3,52.0
2434308,1952,10,21,85.7,51.6
2434309,1952,10,22,90.9,54.1
2434310,1952,10,23,91.8,56.9
2434311,1952,10,24,92.3,57.8
2434312,1952,10,25,91.9,59.0
2434313,1952,10,26,89.2,58.8
2434314,1952,10,27,87.0,57.7
2434315,1952,10,28,88.3,58.0
2434316,1952,10,29,86.6,59.1
2434317,1952,10,30,85.4,58.0
2434318,1952,10,31,82.0,56.5
2434319,1952,11,1,76.3,55.2
2434320,1952,11,2,74.2,53.5
2434321,1952,11,3,72.0,50.9
2434322,1952,11,4,71.5,51.8
2434323,1952,11,5,76.3,52.4
2434324,1952,11,6,72.9,52.6
2434325,1952,11,7,73.3,49.7
2434326,1952,11,8,75.5,49.9
2434327,1952,11,9,75.0,53.0
2434328,1952,11,10,73.3,50.8
2434329,1952,11,11,75.1,50.7
2434330,1952,11,12,76.6,52.8
2434331,1952,11,13,77.6,53.5
2434332,1952,11,14,78.0,53.0
2434333,1952,11,15,85.7,54.3
2434334,1952,11,16,88.2,54.5
2434335,1952,11,17,88.9,54.3
2434336,1952,11,18,93.1,55.7
2434337,1952,11,19,111.0,59.5
2434338,1952,11,20,96.9,63.6
2434339,1952,11,21,100.0,56.9
2434340,1952,11,22,92.2,58.0
2434341,1952,11,23,93.2,56.5
2434342,1952,11,24,92.6,57.1
2434343,1952,11,25,95.7,57.1
2434344,1952,11,26,86.0,57.0
2434345,1952,11,27,76.8,51.9
2434346,1952,11,28,77.3,50.6
2434347,1952,11,29,75.8,52.3
2434348,1952,11,30,77.0,54.8
2434349,1952,12,1,77.0,55.9
2434350,1952,12,2,75.9,55.8
2434351,1952,12,3,76.1,53.3
2434352,1952,12,4,73.6,52.0
2434353,1952,12,5,74.9,50.9
2434354,1952,12,6,77.4,52.1
2434355,1952,12,7,82.5,53.4
2434356,1952,12,8,83.9,55.2
2434357,1952,12,9,87.8,56.9
2434358,1952,12,10,90.7,60.4
2434359,1952,12,11,95.9,61.1
2434360,1952,12,12,92.4,60.5
2434361,1952,12,13,100.0,59.5
2434362,1952,12,14,102.4,63.8
2434363,1952,12,15,102.9,62.0
2434364,1952,12,16,101.6,62.0
2434365,1952,12,17,104.2,61.4
2434366,1952,12,18,102.3,62.0
2434367,1952,12,19,101.7,62.4
2434368,1952,12,20,99.1,64.6
2434369,1952,12,21,90.7,60.1
2434370,1952,12,22,83.1,54.7
2434371,1952,12,23,85.2,54.9
2434372,1952,12,24,82.8,55.7
2434373,1952,12,25,80.2,54.6
2434374,1952,12,26,77.5,55.5
2434375,1952,12,27,73.2,53.4
2434376,1952,12,28,71.0,51.5
2434377,1952,12,29,70.3,50.4
2434378,1952,12,30,70.2,51.8
2434379,1952,12,31,82.1,54.3
2434380,1953,1,1,77.4,55.5
2434381,1953,1,2,74.3,50.6
2434382,1953,1,3,75.9,51.2
2434383,1953,1,4,79.2,51.2
2434384,1953,1,5,80.5,48.9
2434385,1953,1,6,93.9,53.6
2434386,1953,1,7,89.2,59.5
2434387,1953,1,8,98.5,58.1
2434388,1953,1,9,97.3,61.2
2434389,1953,1,10,97.9,60.3
2434390,1953,1,11,101.2,61.9
2434391,1953,1,12,101.5,61.9
2434392,1953,1,13,99.8,62.5
2434393,1953,1,14,103.2,61.3
2434394,1953,1,15,86.9,59.5
2434395,1953,1,16,90.3,54.7
2434396,1953,1,17,85.2,56.6
2434397,1953,1,18,82.7,55.7
2434398,1953,1,19,78.8,53.0
2434399,1953,1,20,75.8,51.8
2434400,1953,1,21,74.8,51.4
2434401,1953,1,22,74.0,51.2
2434402,1953,1,23,73.4,51.2
2434403,1953,1,24,72.0,50.6
2434404,1953,1,25,71.8,49.8
2434405,1953,1,26,73.0,50.4
2434406,1953,1,27,73.0,51.0
2434407,1953,1,28,73.5,50.9
2434408,1953,1,29,72.1,51.1
2434409,1953,1,30,74.7,50.7
2434410,1953,1,31,76.3,51.3
2434410,1953,2,1,75.0,51.2
2434411,1953,2,2,77.3,51.5
2434412,1953,2,3,78.5,52.8
2434413,1953,2,4,80.4,53.4
2434414,1953,2,5,79.5,53.7
2434415,1953,2,6,78.6,53.3
2434416,1953,2,7,76.0,52.2
2434417,1953,2,8,75.4,50.6
2434418,1953,2,9,76.4,51.0
2434419,1953,2,10,77.7,52.7
2434420,1953,2,11,77.7,53.1
2434421,1953,2,12,74.7,52.2
2434422,1953,2,13,74.8,51.2
2434423,1953,2,14,72.2,50.5
2434424,1953,2,15,71.9,49.2
2434425,1953,2,16,73.8,50.3
2434426,1953,2,17,69.8,49.6
2434427,1953,2,18,67.0,46.9
2434428,1953,2,19,66.7,46.1
2434429,1953,2,20,66.2,46.5
2434430,1953,2,21,63.9,46.1
2434431,1953,2,22,65.6,46.4
2434432,1953,2,23,67.8,47.8
2434433,1953,2,24,63.1,47.2
2434434,1953,2,25,69.4,46.9
2434435,1953,2,26,69.1,48.9
2434436,1953,2,27,68.5,48.3
2434437,1953,2,28,67.6,47.2
2434440,1953,3,1,69.9,46.8
2434441,1953,3,2,72.9,49.2
2434442,1953,3,3,71.5,48.9
2434443,1953,3,4,72.0,48.7
2434444,1953,3,5,73.6,49.3
2434445,1953,3,6,72.8,50.0
2434446,1953,3,7,69.4,48.8
2434447,1953,3,8,67.9,47.0
2434448,1953,3,9,68.5,47.2
2434449,1953,3,10,70.1,47.8
2434450,1953,3,11,68.0,47.4
2434451,1953,3,12,65.1,46.1
2434452,1953,3,13,68.9,45.8
2434453,1953,3,14,67.4,46.8
2434454,1953,3,15,65.2,44.7
2434455,1953,3,16,65.1,44.7
2434456,1953,3,17,68.9,46.0
2434457,1953,3,18,66.7,47.2
2434458,1953,3,19,67.9,46.8
2434459,1953,3,20,70.7,47.5
2434460,1953,3,21,68.5,47.7
2434461,1953,3,22,65.6,45.4
2434462,1953,3,23,65.5,45.3
2434463,1953,3,24,69.6,46.6
2434464,1953,3,25,74.8,48.2
2434465,1953,3,26,68.9,47.8
2434466,1953,3,27,67.6,45.2
2434467,1953,3,28,71.0,44.4
2434468,1953,3,29,76.8,49.8
2434469,1953,3,30,78.6,49.7
2434470,1953,3,31,79.2,50.7
2434471,1953,4,1,85.6,51.9
2434472,1953,4,2,85.9,55.0
2434473,1953,4,3,89.8,55.7
2434474,1953,4,4,86.3,56.1
2434475,1953,4,5,82.3,53.6
2434476,1953,4,6,79.2,51.6
2434477,1953,4,7,78.8,51.6
2434478,1953,4,8,86.9,52.5
2434479,1953,4,9,80.1,54.0
2434480,1953,4,10,77.5,50.4
2434481,1953,4,11,72.1,48.8
2434482,1953,4,12,71.5,49.4
2434483,1953,4,13,70.4,47.9
2434484,1953,4,14,67.0,48.0
2434485,1953,4,15,68.2,46.9
2434486,1953,4,16,66.0,46.4
2434487,1953,4,17,66.4,45.7
2434488,1953,4,18,60.6,44.2
2434489,1953,4,19,64.5,44.3
2434490,1953,4,20,66.4,44.6
2434491,1953,4,21,70.5,46.4
2434492,1953,4,22,75.4,46.6
2434493,1953,4,23,77.0,47.6
2434494,1953,4,24,86.7,49.3
2434495,1953,4,25,88.4,52.8
2434496,1953,4,26,89.3,50.1
2434497,1953,4,27,96.0,51.5
2434498,1953,4,28,100.6,53.7
2434499,1953,4,29,93.6,55.0
2434500,1953,4,30,94.7,51.0
2434501,1953,5,1,83.7,49.9
2434502,1953,5,2,83.0,47.4
2434503,1953,5,3,86.0,54.8
2434504,1953,5,4,80.8,51.9
2434505,1953,5,5,76.6,51.7
2434506,1953,5,6,76.3,50.4
2434507,1953,5,7,70.7,50.2
2434508,1953,5,8,72.1,48.3
2434509,1953,5,9,69.6,47.8
2434510,1953,5,10,65.4,44.5
2434511,1953,5,11,66.5,45.0
2434512,1953,5,12,67.2,45.8
2434513,1953,5,13,67.7,46.3
2434514,1953,5,14,67.8,46.3
2434515,1953,5,15,66.8,46.0
2434516,1953,5,16,68.4,45.2
2434517,1953,5,17,71.5,46.7
2434518,1953,5,18,70.8,48.5
2434519,1953,5,19,72.7,47.4
2434520,1953,5,20,72.7,48.3
2434521,1953,5,21,73.6,47.4
2434522,1953,5,22,73.2,47.4
2434523,1953,5,23,73.0,47.0
2434524,1953,5,24,73.6,48.1
2434525,1953,5,25,74.9,48.1
2434526,1953,5,26,69.8,47.2
2434527,1953,5,27,70.2,45.4
2434528,1953,5,28,72.3,46.3
2434529,1953,5,29,72.7,47.1
2434530,1953,5,30,71.5,46.6
2434531,1953,5,31,71.5,47.0
2434532,1953,6,1,72.3,46.4
2434533,1953,6,2,73.3,46.2
2434534,1953,6,3,75.0,47.0
2434535,1953,6,4,76.8,46.8
2434536,1953,6,5,72.2,47.4
2434537,1953,6,6,72.2,46.2
2434538,1953,6,7,72.9,46.6
2434539,1953,6,8,72.1,46.9
2434540,1953,6,9,71.4,46.2
2434541,1953,6,10,70.0,46.4
2434542,1953,6,11,72.2,46.0
2434543,1953,6,12,67.5,45.7
2434544,1953,6,13,70.3,44.8
2434545,1953,6,14,73.9,46.8
2434546,1953,6,15,73.1,49.5
2434547,1953,6,16,86.5,50.4
2434548,1953,6,17,75.6,52.8
2434549,1953,6,18,73.9,47.7
2434550,1953,6,19,73.9,46.9
2434551,1953,6,20,73.0,46.6
2434552,1953,6,21,73.1,46.9
2434553,1953,6,22,72.2,47.1
2434554,1953,6,23,72.6,46.7
2434555,1953,6,24,71.7,46.6
2434556,1953,6,25,71.7,46.1
2434557,1953,6,26,71.5,46.3
2434558,1953,6,27,70.0,45.9
2434559,1953,6,28,70.1,46.1
2434560,1953,6,29,70.6,46.6
2434561,1953,6,30,68.8,46.7
2434562,1953,7,1,66.7,45.7
2434563,1953,7,2,67.0,44.6
2434564,1953,7,3,69.2,44.2
2434565,1953,7,4,67.7,45.1
2434566,1953,7,5,68.0,44.8
2434567,1953,7,6,68.3,45.1
2434568,1953,7,7,68.7,45.5
2434569,1953,7,8,69.6,45.9
2434570,1953,7,9,73.5,47.0
2434571,1953,7,10,72.5,47.5
2434572,1953,7,11,74.2,48.3
2434573,1953,7,12,74.2,48.6
2434574,1953,7,13,73.4,48.1
2434575,1953,7,14,73.4,47.0
2434576,1953,7,15,75.0,47.8
2434577,1953,7,16,72.9,48.0
2434578,1953,7,17,72.7,47.2
2434579,1953,7,18,73.0,46.6
2434580,1953,7,19,70.5,46.0
2434581,1953,7,20,65.4,44.4
2434582,1953,7,21,69.6,43.6
2434583,1953,7,22,70.9,45.6
2434584,1953,7,23,69.2,45.5
2434585,1953,7,24,67.9,44.3
2434586,1953,7,25,66.2,43.5
2434587,1953,7,26,65.5,44.1
2434588,1953,7,27,65.8,43.2
2434589,1953,7,28,66.3,43.1
2434590,1953,7,29,65.8,43.1
2434591,1953,7,30,65.8,43.2
2434592,1953,7,31,67.4,43.5
2434593,1953,8,1,65.7,43.4
2434594,1953,8,2,64.8,41.9
2434595,1953,8,3,67.4,41.9
2434596,1953,8,4,69.9,43.6
2434597,1953,8,5,71.0,45.0
2434598,1953,8,6,70.6,45.6
2434599,1953,8,7,71.6,45.6
2434600,1953,8,8,70.2,45.6
2434601,1953,8,9,76.7,47.0
2434602,1953,8,10,80.8,47.0
2434603,1953,8,11,89.3,48.9
2434604,1953,8,12,87.3,52.7
2434605,1953,8,13,88.9,51.8
2434606,1953,8,14,88.5,51.3
2434607,1953,8,15,89.0,51.9
2434608,1953,8,16,84.2,53.4
2434609,1953,8,17,82.1,51.8
2434610,1953,8,18,75.8,50.4
2434611,1953,8,19,76.2,48.0
2434612,1953,8,20,75.4,48.0
2434613,1953,8,21,75.8,48.1
2434614,1953,8,22,72.1,47.6
2434615,1953,8,23,69.5,45.1
2434616,1953,8,24,70.4,44.7
2434617,1953,8,25,66.5,45.1
2434618,1953,8,26,66.6,44.0
2434619,1953,8,27,68.3,44.5
2434620,1953,8,28,67.4,45.0
2434621,1953,8,29,67.0,44.3
2434622,1953,8,30,67.0,44.2
2434623,1953,8,31,68.2,44.0
2434624,1953,9,1,69.2,44.7
2434625,1953,9,2,68.5,44.8
2434626,1953,9,3,68.0,44.4
2434627,1953,9,4,68.5,44.0
2434628,1953,9,5,70.6,44.4
2434629,1953,9,6,72.3,44.9
2434630,1953,9,7,73.6,45.7
2434631,1953,9,8,74.3,46.3
2434632,1953,9,9,73.5,47.2
2434633,1953,9,10,78.2,48.0
2434634,1953,9,11,76.5,49.1
2434635,1953,9,12,76.6,47.8
2434636,1953,9,13,76.6,47.4
2434637,1953,9,14,79.5,48.0
2434638,1953,9,15,79.9,49.1
2434639,1953,9,16,79.6,49.2
2434640,1953,9,17,77.8,48.7
2434641,1953,9,18,77.8,48.1
2434642,1953,9,19,74.0,47.5
2434643,1953,9,20,71.4,46.7
2434644,1953,9,21,74.9,46.9
2434645,1953,9,22,74.5,47.5
2434646,1953,9,23,72.8,46.2
2434647,1953,9,24,75.3,45.7
2434648,1953,9,25,74.9,46.7
2434649,1953,9,26,75.8,46.9
2434650,1953,9,27,74.2,46.0
2434651,1953,9,28,72.0,44.7
2434652,1953,9,29,71.6,45.0
2434653,1953,9,30,75.9,45.8
2434654,1953,10,1,71.7,46.2
2434655,1953,10,2,69.5,43.4
2434656,1953,10,3,68.8,41.6
2434657,1953,10,4,66.1,43.1
2434658,1953,10,5,68.6,41.9
2434659,1953,10,6,73.7,44.1
2434660,1953,10,7,72.7,46.4
2434661,1953,10,8,70.8,45.7
2434662,1953,10,9,70.4,45.3
2434663,1953,10,10,70.8,45.5
2434664,1953,10,11,71.2,45.2
2434665,1953,10,12,72.1,45.1
2434666,1953,10,13,71.6,44.8
2434667,1953,10,14,78.5,45.3
2434668,1953,10,15,77.2,48.4
2434669,1953,10,16,75.2,48.6
2434670,1953,10,17,72.3,47.4
2434671,1953,10,18,71.0,46.0
2434672,1953,10,19,71.8,45.5
2434673,1953,10,20,71.0,46.2
2434674,1953,10,21,71.0,45.9
2434675,1953,10,22,72.8,46.3
2434676,1953,10,23,73.2,46.9
2434677,1953,10,24,71.4,46.2
2434678,1953,10,25,69.7,44.9
2434679,1953,10,26,71.8,45.2
2434680,1953,10,27,72.7,46.0
2434681,1953,10,28,70.2,45.9
2434682,1953,10,29,71.7,45.5
2434683,1953,10,30,73.5,46.3
2434684,1953,10,31,75.5,47.0
2434685,1953,11,1,73.7,46.6
2434686,1953,11,2,73.7,47.6
2434687,1953,11,3,71.6,46.9
2434688,1953,11,4,72.3,46.0
